SZ?,SUBURB/TOWN,ROAD/S,Cameras,Lat(1),Long(1),Lat(2),Long(2)
Y,Lindfield,"Pacific Highway, between Eton Road and Gladstone Parade (school zone)",2,-33.78114353,151.1703513,-33.78126253,151.1701605
Y,Liverpool,"Bigge Street, between Elizabeth Drive and Campbell Street (school zone)",1,-33.91916668,150.9275,,
Y,Lochinvar,"New England Highway, between Robert Road and Station Lane (school zone)",1,-32.69960755,151.4581118,,
Y,Maroubra,"Malabar Road, between Mons Avenue and Duncan Street (school zone)",2,-33.94683202,151.2516715,-33.94686715,151.2518953
N,Mayfield West,"Pacific Highway, between Werribie Street and Tourle Street",1,-32.8922325,151.7298519,,
Y,Merrylands,"Merrylands Road, between Chetwynd Road and Davies Street (school zone)",1,-33.83499999,150.9822222,,
Y,Miranda,"Kingsway, between Sylva Avenue and University Road (school zone)",2,-34.03357161,151.0969542,-34.03379629,151.0969364
Y,Moore Park,"Cleveland Street, between Anzac Parade and South Dowling Street (school zone)",2,-33.89305552,151.2188889,-33.89305557,151.2186111
Y,Mosman,"Macpherson Street, between Ourimbah Road and Montague Road (school zone)",1,-33.82239064,151.2320488,,
N,Victoria Pass,"Great Western Highway, between Mitchells Lookout Road and Ambermere Drive",1,-33.58287,150.24047,,
Y,Narrabeen,"Pittwater Road, between Ocean Street and Devitt Street (school zone)",2,-33.72000362,151.2981769,-33.72057823,151.2980167
N,Narraweena,"Warringah Road, near the intersection with May Road",1,-33.756043,151.276273,,
N,New Italy,"Pacific Highway, between New Italy Road and Turners Road",2,-29.15879224,153.2930778,-29.158693,153.293021
N,Nords Wharf,"Pacific Highway, between Nords Wharf Road and Flowers Drive",1,-33.13393006,151.6131895,,
Y,North Curl Curl,"Harbord Road, between Abbott Road and Brighton Street (school zone)",1,-33.76416669,151.2797222,,
N,North Macksville,"Pacific Highway, between Bellview Drive and Ferry Street",1,-30.69696637,152.9652117,,
N,North Macksville,"Pacific Highway, between Florence Wilmont Drive and Watt Creek",1,-30.703546,152.923003,,
Y,North Narrabeen,"Pittwater Road, between Garden Street and Namona Street (school zone)",2,-33.70094101,151.2991867,-33.70216545,151.2984224
N,North Parramatta,"Pennant Hills Road, between Castle Street and Bellevue Street",1,-33.80057705,151.0082796,,
Y,North Parramatta / Oatlands,"Pennant Hills Road, between Masons Drive and Suttor Avenue (school zone)",2,-33.79341232,151.018726,-33.79357428,151.0188313
N,North Wollongong,"Princes Highway, between Ajax Avenue and Exeter Avenue",1,-34.41141854,150.8926124,,
Y,Old Guilford,"Woodville Road, between Orchardleigh Street and Middleton Road (school zone)",2,-33.86765966,150.9875982,-33.86739615,150.987915
N,Ourimbah,"M1 Pacific Motorway, between Dogtrap Road Overpass and Ourimbah Creek Road",1,-33.35809178,151.3429571,,
Y,Ourimbah,"Pacific Highway, between Yates Road and Dog Trap Road (school zone)",2,-33.35340304,151.3696063,-33.35340788,151.3696426
N,Padstow,"Gibson Avenue, between Turvey Street and Bryant Street",1,-33.93987715,151.0274613,,
N,Peakhurst,"Henry Lawson Drive, between Belmore Road and Ogilvy Street",1,-33.9610236,151.0495263,,
Y,Penshurst,"Forest Road, between Penshurst Street and St Georges Street (school zone)",1,-33.96333333,151.0858334,,
N,Picnic Point,"Henry Lawson Drive, between Carinya Road and The River Road",1,-33.97902162,151.0098467,,
N,Queanbeyan,"Lanyon Drive, between Tompsitt Drive and Hoover Road",1,-35.3737068,149.1944031,,
Y,Randwick,"Avoca Street, between Howard Street and Barker Road (school zone)",1,-33.92284282,151.2400467,,
N,Rankin Park,"McCaffrey Drive, between Duval Street and Orara Street",1,-32.925096,151.682014,,
Y,Rosebery/Alexandria,"Botany Road, between Gardeners Road and Gillespie Street (school zone)",2,-33.9209704,151.1970989,-33.92085491,151.1968724
Y,Rydalmere,"Victoria Road, between Park Road and John Street (school zone)",2,-33.81284539,151.0451275,-33.81264402,151.0441903
N,Ryde,"Blaxland Road, between Reservoir Lane and North Road",1,-33.80306634,151.1019372,,
Y,Ryde,"Victoria Road, between Margaret Street and Cressy Road (school zone)",2,-33.81959929,151.1174122,-33.81987705,151.11769
N,Sandgate,"Pacific Highway, between Wallsend Road and Ironbark Creek",2,-32.85620069,151.7038844,-32.85768723,151.7048722
N,South Windsor,"George Street, between Rickaby Street and Yarrawonga Street",1,-33.62840855,150.7950062,,
Y,Strathfield,"The Boulevarde, between Torrington Parade and Russell Street (school zone)",1,-33.87792312,151.0931962,,
N,Tenterfield,"New England Highway, between Duncan Street and George Street",1,-29.0400659,152.0160985,,
Y,Terrigal,"Terrigal Drive, between Brunswick Road and Bellbird Avenue (school zone)",1,-33.439516,151.431087,,
Y,Toongabbie,"Fitzwilliam Road, between Reynolds Street and Binalong Road (school zone)",2,-33.78629486,150.9657021,-33.78653841,150.9660488
N,Valla Beach,"Pacific Highway, between Valla Beach Road and Oyster Creek",1,-30.58350026,153.0024828,,
N,Valley Heights,"Great Western Highway, between The Valley Road and Sun Valley Road",1,-33.71183191,150.5919374,,
Y,Wahroonga,"Pacific Highway, between Gilda Avenue and Woodville Avenue (school zone)",2,-33.72287956,151.1184548,-33.72247323,151.1183653
N,Wardell,"Pacific Highway, between Riverside Drive and Carlisle Street",1,-28.94580095,153.4675675,,
N,Warrawong,"Northcliffe Drive, between Griffin Street and Kully Street",1,-34.49174959,150.8761139,,
N,West Pennant Hills,"Castle Hill Road, between Pennant Hills Road and Coonara Avenue",1,-33.74011786,151.0386616,,
N,Wollongbar,"Bruxner Highway, between Convernys Lane and McLeans Ridges Road",1,-28.81241201,153.3907865,,
Y,Wollongong,"Princes Highway, between Mount Keira Road and Highway Avenue (school zone)",1,-34.42712237,150.8697969,,
N,Woodburn,"Pacific Highway, between Wagner Street and Norman Street",1,-29.06743825,153.3514251,,
Y,Wyoming,"Henry Parry Drive, between Glennie Street and Dwyer Street (school zone)",1,-33.41374332,151.3495707,,
N,Yagoona,"Hume Highway, between Smith Street and Brennan Avenue",1,-33.90466286,151.0086742,,
N,Engadine,"Heathcote Road, between Forum Drive and New Illawarra Road",1,-34.07328121,151.0055604,,
N,Clunes,"Bangalow Road, between Flatley Drive and Johnston Road",1,-28.73451,153.40462,,
N,The Spit/Beauty Point ,"Spit Road, between Parriwi Road and Upper Spit Road and between Central Avenue and Medusa Street",2,-33.81395,151.24386,-33.80995,151.24531
Y,Epping,"Carlingford Road, between Midson Road and Duntroon Ave (school zone)",1,-33.77379,151.06815,,
N,Urunga,"Pacific Highway, between Ranger Street and Hillside Drive",1,-30.50428,153.00846,,
Y,Gymea,"President Avenue, between Koorabell Road and Gymea Bay South Road (school zone)",1,-34.0375,151.08361,,
N,North Willoughby,"Eastern Valley Way, between Megalong Avenue and McClelland Street",1,-33.79406,151.20795,,
N,Gordon,"Eastern Arterial Road, between Koola Avenue and Nicholson Avenue",1,-33.75206,151.17078,,
