SZ?,SUBURB/TOWN,ROAD/S,Cameras,Lat(1),Long(1),Lat(2),Long(2),Lat(3),Long(3),
N,Allawah / Kogarah Bay,Princes Highway and Park Rd,1,-33.978668,151.122791,,,,,
N,Lakemba,Punchbowl Road and Wangee Road,1,-33.911377,151.073162,,,,,
N,Lambton,Griffiths Road and Turton Road,1,-32.914583,151.725936,,,,,
N,Lane Cove North,Epping Road and Centennial Avenue,1,-33.810788,151.163786,,,,,
N,Lansdowne / Villawood,Woodville Road and Hume Highway,2,-33.888925,150.973789,-33.889992,150.972628,,,
N,Lilyfield ,City West Link Road and James Street,1,-33.875086,151.155788,,,,,
N,Lidcombe,Olympic Drive and Vaughan Street,1,-33.865136,151.041569,,,,,
N,Liverpool,Hume Highway and Hoxton Park Road,1,-33.928038,150.918027,,,,,
N,Liverpool,Copeland Street / Hume Highway and Elizabeth Drive,1,-33.919025,150.919600,,,,,
N,Liverpool,Memorial Avenue and Bathurst Street,1,-33.924521,150.920698,,,,,
N,Liverpool,Moore Street and Bathurst Street,1,-33.922154,150.921151,,,,,
N,Maroubra Junction,Anzac Parade and Boyce Road,1,-33.939880,151.239244,,,,,
N,Marrickville,Sydenham Road and Victoria Road,1,-33.909568,151.162081,,,,,
N,Mascot,O'Riordan Street and Coward Street,1,-33.924603,151.190366,,,,,
N,Mascot,O'Riordan Street and Gardeners Road,1,-33.921053,151.191684,,,,,
N,Mascot,Wentworth Avenue and Sutherland Steet,1,-33.93394,151.19925,,,,,
N,Mayfield West,Pacific Highway / Maitland Road and Maud Street,1,-32.890059,151.726633,,,,,
N,Mays Hill,Great Western Highway and Coleman Street / Hawkesbury Road,2,-33.818278,150.982002,-33.81764,150.981714,,,
N,Merrylands West ,Merrylands Road and Sherwood Road ,1,-33.832451,150.969880,,,,,
N,Milperra,Milperra Road / Newbridge Road and Henry Lawson Drive,1,-33.929359,150.979692,,,,,
N,Miranda,The Kingsway and Port Hacking Road,1,-34.03506667,151.1128167,,,,,
N,Moore Park,Anzac Parade and Cleveland Street / Lang Road,1,-33.894640,151.221637,,,,,
N,Moore Park,Anzac Parade and Moore Park Rd,2,-33.886839,151.219003,-33.886409,151.219003,,,
N,Moorebank,Newbridge Road and Stockton Avenue,1,-33.929234,150.948529,,,,,
N,Mosman,Military Road and Cowles Road,1,-33.824447,151.238658,,,,,
N,Mount Druitt,Great Western Highway and Carlisle Avenue,1,-33.779018,150.814018,,,,,
N,Naremburn,Willoughby Road and Chandos Street,1,-33.821865,151.201011,,,,,
N,North Sydney / Neutral Bay,Falcon Street and Merlin Street,1,-33.829902,151.215360,,,,,
Y,North Ryde,Lane Cove Road and Coxs Road (school zone),3,-33.793378,151.119951,-33.793277,151.119479,-33.793034,151.119952,
N,North Ryde,Epping Road and Wicks Road,1,-33.791496,151.130017,,,,,
N,Northmead,Briens Road and Redbank Road,1,-33.795427,150.990153,,,,,
N,Old Toongabbie / Northmead,Old Windsor Road and Cumberland Highway,1,-33.793959,150.983149,,,,,
N,Paddington,Moore Park Road and Oxford Street / Lang Road,1,-33.889736,151.232499,,,,,
N,Surry Hills,South Dowling Street and Fitzroy Street / Moore Park Road,2,-33.886275,151.217811,-33.885784,151.218139,,,
N,Parramatta,Great Western Highway and Marsden Street,1,-33.819269,150.999915,,,,,
N,Parramatta,Marsden Street and Macquarie Street,1,-33.814854,151.001910,,,,,
N,Parramatta,O'Connell Street and Argyle Street,1,-33.815943,150.999395,,,,,
N,Parramatta,Victoria Road and Church Street,1,-33.808757,151.005638,,,,,
Y,Pennant Hills,Pennant Hills Road and Beecroft Road (school zone),1,-33.740444,151.060871,,,,,
N,Petersham,Gordon Street and New Canterbury Road,1,-33.896422,151.152442,,,,,
N,Leichhardt / Petersham,Parramatta Road and West Street,1,-33.889916,151.149349,,,,,
N,Port Macquarie,Gordon Street and Grant Street,1,-31.43301,152.9149,,,,,
N,Prospect,Great Western Highway and Clunies Ross Street,1,-33.805152,150.927916,,,,,
N,Ramsgate,Rocky Point Road and Ramsgate Road,1,-33.984013,151.136393,,,,,
N,Randwick,Alison Road and Avoca Street,1,-33.913259,151.242287,,,,,
N,Randwick,Darley Road and Avoca Street / York Road,1,-33.903022,151.244762,,,,,
Y,Surry Hills / Redfern,Cleveland Street and Chalmers Street (school zone),1,-33.88988,151.2061,,,,,
N,Richmond ,March Street and East Market Street ,1,-33.599044,150.751741,,,,,
N,Rockdale,West Botany Street and Bestic Street,1,-33.949753,151.148993,,,,,
N,Rockdale,Princes Highway and Bay Street,2,-33.953070,151.137407,-33.952803,151.137707,,,
N,Rooty Hill,Woodstock Avenue and M7 Northbound Off Ramp,1,-33.760375,150.846828,,,,,
N,Roselands,King Georges Road and Moorefields Road,1,-33.939975,151.075464,,,,,
N,Rosleands / Wiley Park,Canterbury Road and King Georges Road,2,-33.929356,151.073011,-33.929551,151.071556,,,
N,Rozelle,Victoria Road and Evans Street,1,-33.865183,151.172069,,,,,
N,Rozelle,Victoria Road and Wellington Street,1,-33.862815,151.168722,,,,,
N,Ryde,Victoria Road and Devlin Street,1,-33.816027,151.103451,,,,,
N,Seven Hills,Abbott Road and Prospect Highway,1,-33.768286,150.943411,,,,,
N,Silverwater,M4 Eastbound Off Ramp and Silverwater Road,1,-33.842261,151.044364,,,,,
N,Smithfield,Cumberland Highway and The Horsley Drive,1,-33.853333,150.941174,,,,,
N,Fairfield Heights,Polding Street and The Boulevarde,1,-33.861903,150.938796,,,,,
N,Smithfield,The Horsley Drive and Gipps Street,1,-33.850998,150.922517,,,,,
N,Smithfield,Victoria Street and Hassall Street,1,-33.848982,150.922953,,,,,
N,Penrith,Parker Street and Jamison Street,1,-33.764347,150.709649,,,,,
N,South Wentworthville,Cumberland Highway and Old Prospect Road,1,-33.817305,150.962803,,,,,
N,Coniston,Springhill Road and Masters Road,2,-34.446146,150.875730,-34.446028,150.876095,,,
N,St Marys,Great Western Highway and Charles Hackett Drive,2,-33.769462,150.768572,-33.769671,150.768902,,,
Y,St Marys,Mamre Road and Saddington Street (school zone),1,-33.772929,150.773105,,,,,
N,St Peters,Princes Highway and Sydney Park Road,1,-33.907357,151.181345,,,,,
N,Homebush West / Strathfield ,Arthur Street and Centenary Drive,1,-33.867599,151.063807,,,,,
N,Redfern / Surry Hills,Cleveland Street and South Dowling Street,1,-33.891974,151.216463,,,,,
N,Surry Hills,Crown Street and Albion Street,1,-33.883634,151.214255,,,,,
N,Surry Hills,Foveaux Street and Crown Street,1,-33.885198,151.214246,,,,,
N,Sydney ,Elizabeth Street and Park Street,1,-33.873458,151.209802,,,,,
N,Thornleigh,Pennant Hills Road and The Comenarra Parkway / Parkes Street,1,-33.731005,151.080715,,,,,
N,Ultimo,Wattle Street and William Henry Street,1,-34.38354,150.90031,,,,,
N,Albury,Borella Road and Young Street,1,-33.879200,151.195705,,,,,
N,Unanderra,Princes Highway and Five Islands Road,1,-34.449572,150.849659,,,,,
Y,Waitara,Pacific Highway and Romsey Street (school zone),1,-33.710292,151.102728,,,,,
N,Wallsend,Thomas Street and Metcalfe Street,1,-32.906082,151.671472,,,,,
N,Warrawong,Cowper Street and King Street / Grand Pacific Drive,1,-34.485159,150.887656,,,,,
N,Warwick Farm,Hume Highway and Bigge Street,1,-33.914318,150.928652,,,,,
N,Waterloo,McEvoy Street and Elizabeth Street,1,-33.900255,151.205728,,,,,
N,Wentworthville,Great Western Highway and Station Street,1,-33.815378,150.969323,,,,,
N,West Pennant Hills,Pennant Hills Road and Eaton Road,1,-33.754204,151.047587,,,,,
N,West Pymble,Ryde Road and Lady Game Drive,1,-33.773127,151.135317,,,,,
Y,Wiley Park,The Boulevarde and King Georges Road (school zone),1,-33.922829,151.068784,,,,,
N,Wiley Park,Lakemba Street and King Georges Road,1,-33.92132,151.0676,,,,,
N,Windang,Windang Road and Boronia Avenue,1,-34.530135,150.868979,,,,,
N,Windsor,Macquarie Street and Hawkesbury Valley Way,1,-33.612150,150.815459,,,,,
N,Wollongong,Corrimal Street and Burelli Street,1,-34.427145,150.899935,,,,,
N,Wollongong,Princes Highway and Gladstone Avenue,1,-34.425962,150.887237,,,,,
N,Woollahra,Queen Street and Ocean Street,1,-33.887909,151.239713,,,,,
N,Yagoona,Rookwood Road and Brunker Road ,1,-33.898708,151.037513,,,,,
N,Alexandria /Zetland,Bourke Street and Botany Road,1,-33.905448,151.203116,,,,,
N,Warwick Farm,Hume Highway and Mannix Parade,1,-33.9138197,150.931716,,,,,
N,Silverwater,Silverwater Road and Holker Street,1,-33.8301888,151.0496425,,,,,
N,Rooty Hill,Sherbrooke Street and Railway Street,1,-33.7702144,150.8350648,,,,,
N,Merrylands,Woodville Road and Louis Street,1,-33.8398174,150.9993556,,,,,
N,Coffs Harbour,Pacific Highway and Bray Street,1,-30.28376982,153.1267167,,,,,
N,Bass Hill ,Hume Highway and Chester Hill Road ,1,-33.89903234,150.9964705,,,,,
N,Charlestown,Charlestown Road and Hillsborough Road,1,-32.95667211,151.6866573,,,,,
N,Coffs Harbour,Pacific Highway and Combine Street,1,-30.30078349,153.1106106,,,,,
N,Nowra,East Street and Moss Street,1,-34.87220758,150.6058119,,,,,
N,Woolooware,Captain Cook Drive and Foreshore Boulevarde,2,-34.039352,151.138967,-34.039054,151.138353,,,
N,West Hoxton,Hoxton Park Road and Cowpasture Road,1,-33.9246,150.84848,,,,,
N,Minchinbury,George Street and Great Western Highway,1,-33.78144,150.82395,,,,,
N,Lane Cove ,Figtree Street and Centennial Avenue,1,-33.81394,151.15536,,,,,
N,Plumpton,Jersey Road and Hyatts Road,1,-33.74407,150.83481,,,,,
N,Wolloomooloo,Bourke Street and William Street,1,-33.87459,151.21808,,,,,
N,Kotara,Charlestown Road and Carnley Avenue,1,-32.94054,151.68814,,,,,
N,South Tweed Heads,Minjungbal Drive and Rivendell Street,1,-28.2058,153.54453,,,,,
N,Tweed Heads West,Gold Coast Highway and Pacific Highway,1,-28.17862,153.52132,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
